Name:[Generated POMDP] # 
OBSERVATIONS: [O_start, Flrb, O_abs, FlrB, FlRB, flrB, fLRB, FLrB, flRb, A, fLRb, C, B, fLrb, D, FLRb] #
STATES: [{S; 1; O_start; T}, {T; 1; O_abs; F}, {s1x1xS; 3; FlRB; F}, {s1x1xE; 3; fLRB; F}, {s1x1xW; 3; FLRb; F}, {s1x1xN; 3; FLrB; F}, {s1x2xS; 3; FlrB; F}, {s1x2xE; 3; fLRb; F}, {s1x2xW; 3; fLRb; F}, {s1x2xN; 3; FlrB; F}, {s1x3xS; 3; flrB; F}, {s1x3xE; 3; fLrb; F}, {s1x3xW; 3; flRb; F}, {s1x3xN; 3; Flrb; F}, {s1x4xS; 3; FlrB; F}, {s1x4xE; 3; fLRb; F}, {s1x4xW; 3; fLRb; F}, {s1x4xN; 3; FlrB; F}, {s1x5xS; 3; flrB; F}, {s1x5xE; 3; fLrb; F}, {s1x5xW; 3; flRb; F}, {s1x5xN; 3; Flrb; F}, {s1x6xS; 3; FlrB; F}, {s1x6xE; 3; fLRb; F}, {s1x6xW; 3; fLRb; F}, {s1x6xN; 3; FlrB; F}, {s1x7xS; 3; flrB; F}, {s1x7xE; 3; fLrb; F}, {s1x7xW; 3; flRb; F}, {s1x7xN; 3; Flrb; F}, {s1x8xS; 3; FlrB; F}, {s1x8xE; 3; fLRb; F}, {s1x8xW; 3; fLRb; F}, {s1x8xN; 3; FlrB; F}, {s1x9xS; 3; flrB; F}, {s1x9xE; 3; fLrb; F}, {s1x9xW; 3; flRb; F}, {s1x9xN; 3; Flrb; F}, {s1x10xS; 3; FlrB; F}, {s1x10xE; 3; fLRb; F}, {s1x10xW; 3; fLRb; F}, {s1x10xN; 3; FlrB; F}, {s1x11xS; 3; FLrB; F}, {s1x11xE; 3; FLRb; F}, {s1x11xW; 3; fLRB; F}, {s1x11xN; 3; FlRB; F}, {s2x3xS; 3; A; F}, {s2x3xE; 3; FlRB; F}, {s2x3xW; 3; FLrB; F}, {s2x3xN; 3; fLRB; F}, {s2x5xS; 3; B; F}, {s2x5xE; 3; FlRB; F}, {s2x5xW; 3; FLrB; F}, {s2x5xN; 3; fLRB; F}, {s2x7xS; 3; C; F}, {s2x7xE; 3; FlRB; F}, {s2x7xW; 3; FLrB; F}, {s2x7xN; 3; fLRB; F}, {s2x9xS; 3; D; F}, {s2x9xE; 3; FlRB; F}, {s2x9xW; 3; FLrB; F}, {s2x9xN; 3; fLRB; F}] #
ACTIONS:[F,L,R] #
TRANSITIONS: [s2x3xE,R,{s2x3xS}] #
TRANSITIONS: [s2x3xE,R,{s2x3xE}] #
TRANSITIONS: [s2x3xW,F,{T}] #
TRANSITIONS: [s2x3xW,F,{s2x3xW}] #
TRANSITIONS: [s2x3xW,L,{s2x3xS}] #
TRANSITIONS: [s2x3xW,L,{s2x3xW}] #
TRANSITIONS: [s2x3xW,R,{s2x3xN}] #
TRANSITIONS: [s2x3xW,R,{s2x3xW}] #
TRANSITIONS: [s2x3xN,F,{s1x3xN}] #
TRANSITIONS: [s2x3xN,F,{s2x3xN}] #
TRANSITIONS: [s2x3xN,L,{s2x3xW}] #
TRANSITIONS: [s2x3xN,L,{s2x3xN}] #
TRANSITIONS: [s2x3xN,R,{s2x3xE}] #
TRANSITIONS: [s2x3xN,R,{s2x3xN}] #
TRANSITIONS: [s2x5xS,F,{T}] #
TRANSITIONS: [s2x5xS,F,{s2x5xS}] #
TRANSITIONS: [s2x5xS,L,{s2x5xE}] #
TRANSITIONS: [s2x5xS,L,{s2x5xS}] #
TRANSITIONS: [s2x5xS,R,{s2x5xW}] #
TRANSITIONS: [s2x5xS,R,{s2x5xS}] #
TRANSITIONS: [s2x5xE,F,{T}] #
TRANSITIONS: [s2x5xE,F,{s2x5xE}] #
TRANSITIONS: [s2x5xE,L,{s2x5xN}] #
TRANSITIONS: [s2x5xE,L,{s2x5xE}] #
TRANSITIONS: [s2x5xE,R,{s2x5xS}] #
TRANSITIONS: [s2x5xE,R,{s2x5xE}] #
TRANSITIONS: [s2x5xW,F,{T}] #
TRANSITIONS: [s2x5xW,F,{s2x5xW}] #
TRANSITIONS: [s2x5xW,L,{s2x5xS}] #
TRANSITIONS: [s2x5xW,L,{s2x5xW}] #
TRANSITIONS: [s2x5xW,R,{s2x5xN}] #
TRANSITIONS: [s2x5xW,R,{s2x5xW}] #
TRANSITIONS: [s2x5xN,F,{s1x5xN}] #
TRANSITIONS: [s2x5xN,F,{s2x5xN}] #
TRANSITIONS: [s2x5xN,L,{s2x5xW}] #
TRANSITIONS: [s2x5xN,L,{s2x5xN}] #
TRANSITIONS: [s2x5xN,R,{s2x5xE}] #
TRANSITIONS: [s2x5xN,R,{s2x5xN}] #
TRANSITIONS: [s2x7xS,F,{T}] #
TRANSITIONS: [s2x7xS,F,{s2x7xS}] #
TRANSITIONS: [s2x7xS,L,{s2x7xE}] #
TRANSITIONS: [s2x7xS,L,{s2x7xS}] #
TRANSITIONS: [s2x7xS,R,{s2x7xW}] #
TRANSITIONS: [s2x7xS,R,{s2x7xS}] #
TRANSITIONS: [s2x7xE,F,{T}] #
TRANSITIONS: [s2x7xE,F,{s2x7xE}] #
TRANSITIONS: [s2x7xE,L,{s2x7xN}] #
TRANSITIONS: [s2x7xE,L,{s2x7xE}] #
TRANSITIONS: [s2x7xE,R,{s2x7xS}] #
TRANSITIONS: [s2x7xE,R,{s2x7xE}] #
TRANSITIONS: [s2x7xW,F,{T}] #
TRANSITIONS: [s2x7xW,F,{s2x7xW}] #
TRANSITIONS: [s2x7xW,L,{s2x7xS}] #
TRANSITIONS: [s2x7xW,L,{s2x7xW}] #
TRANSITIONS: [s2x7xW,R,{s2x7xN}] #
TRANSITIONS: [s2x7xW,R,{s2x7xW}] #
TRANSITIONS: [s2x7xN,F,{s1x7xN}] #
TRANSITIONS: [s2x7xN,F,{s2x7xN}] #
TRANSITIONS: [s2x7xN,L,{s2x7xW}] #
TRANSITIONS: [s2x7xN,L,{s2x7xN}] #
TRANSITIONS: [s2x7xN,R,{s2x7xE}] #
TRANSITIONS: [s2x7xN,R,{s2x7xN}] #
TRANSITIONS: [s2x9xS,F,{T}] #
TRANSITIONS: [s2x9xS,F,{s2x9xS}] #
TRANSITIONS: [s2x9xS,L,{s2x9xE}] #
TRANSITIONS: [s2x9xS,L,{s2x9xS}] #
TRANSITIONS: [s2x9xS,R,{s2x9xW}] #
TRANSITIONS: [s2x9xS,R,{s2x9xS}] #
TRANSITIONS: [s2x9xE,F,{T}] #
TRANSITIONS: [s2x9xE,F,{s2x9xE}] #
TRANSITIONS: [s2x9xE,L,{s2x9xN}] #
TRANSITIONS: [s2x9xE,L,{s2x9xE}] #
TRANSITIONS: [s2x9xE,R,{s2x9xS}] #
TRANSITIONS: [s2x9xE,R,{s2x9xE}] #
TRANSITIONS: [s2x9xW,F,{T}] #
TRANSITIONS: [s2x9xW,F,{s2x9xW}] #
TRANSITIONS: [s2x9xW,L,{s2x9xS}] #
TRANSITIONS: [s2x9xW,L,{s2x9xW}] #
TRANSITIONS: [s2x9xW,R,{s2x9xN}] #
TRANSITIONS: [s2x9xW,R,{s2x9xW}] #
TRANSITIONS: [s2x9xN,F,{s1x9xN}] #
TRANSITIONS: [s2x9xN,F,{s2x9xN}] #
TRANSITIONS: [s2x9xN,L,{s2x9xW}] #
TRANSITIONS: [s2x9xN,L,{s2x9xN}] #
TRANSITIONS: [s2x9xN,R,{s2x9xE}] #
TRANSITIONS: [s2x9xN,R,{s2x9xN}] #
